Country,City,Latitude,Longitude
France,Paris,48.8566,2.3522
France,Nice,43.7034,7.2663
France,Toulouse,43.6045,1.4440
France,Marseille,43.2964,5.3700
France,Rennes,48.1147,-1.6794
France,Grenoble,45.1715,5.7224
France,Nantes,47.2181,-1.5528
France,Montpellier,43.6119,3.8772
France,Lyon,45.7600,4.8400
Germany,Berlin,52.5167,13.3833
Germany,Hamburg,53.5500,10.2000
Germany,Munich,48.1372,11.5755
Germany,Cologne,50.9422,6.9578
Germany,Frankfurt,50.1136,8.6797
Germany,Bremen,53.1153,8.7975
Germany,Stuttgart,48.7761,9.1775
Germany,Düsseldorf,51.2311,6.7724
Germany,Dortmund,51.5139,7.4653
Germany,Essen,51.4508,7.0131
United Kingdom,London,51.5072,-0.1275
United Kingdom,Birmingham,52.4800,-1.9025
United Kingdom,Manchester,53.4794,-2.2453
United Kingdom,Leeds,53.7997,-1.5492
United Kingdom,Newcastle,55.0077,-1.6578
United Kingdom,Birstall,52.6736,-1.1200
United Kingdom,Glasgow,55.8609,-4.2514
United Kingdom,Liverpool,53.4000,-2.9833
United Kingdom,Portsmouth,50.8058,-1.0872
United Kingdom,Southampton,50.9000,-1.4000
Italy,Rome,41.8931,12.4828
Italy,Milan,45.4669,9.1900
Italy,Naples,40.8333,14.2500
Italy,Turin,45.0667,7.7000
Italy,Palermo,38.1157,13.3613
Italy,Genoa,44.4072,8.9340
Italy,Bologna,44.4939,11.3428
Italy,Florence,43.7714,11.2542
Italy,Bari,41.1253,16.8667
Italy,Catania,37.5027,15.0873
Spain,Barcelona,41.3825,2.1769
Spain,Madrid,40.4189,-3.6919
Spain,Sevilla,37.3828,-5.9731
Spain,Valencia,39.4667,-0.3750
Spain,Zaragoza,41.6483,-0.8830
Portugal,Lisbon,38.7452,-9.1604
Portugal,Vila Nova de Gaia,41.1333,-8.6167
Portugal,Porto,41.1495,-8.6108
Portugal,Braga,41.5333,-8.4167
Portugal,Matosinhos,41.2077,-8.6674
Switzerland,Zürich,47.3786,8.5400
Switzerland,Geneva,46.2000,6.1500
Switzerland,Basel,47.5606,7.5906
Switzerland,Lausanne,46.5333,6.6333
Switzerland,Bern,46.9480,7.4474
Switzerland,Neuchâtel,46.9903,6.9306
Belgium,Antwerp,51.2211,4.3997
Belgium,Gent,51.0536,3.7253
Belgium,Charleroi,50.4167,4.4442
Belgium,Liège,50.6250,5.5907
Belgium,Brussels,50.8467,4.3517
Netherlands,The Hague,52.0800,4.2700
Netherlands,Amsterdam,52.3500,4.9166
Netherlands,Rotterdam,51.9200,4.4800
Netherlands,Utrecht,52.1003,5.1200
Netherlands,Eindhoven,51.4300,5.5000
Croatia,Zagreb,45.8000,15.9500
Croatia,Split,43.5100,16.4500
Croatia,Rijeka,45.3297,14.4322
Croatia,Osijek,45.5603,18.6703
Croatia,Zadar,44.1167,15.2167
Austria,Vienna,48.2083,16.3731
Austria,Graz,47.0667,15.4333
Austria,Linz,48.3000,14.2833
Austria,Salzburg,47.7972,13.0477
Austria,Innsbruck,47.2683,11.3933
Poland,Warsaw,52.2167,21.0333
Poland,Kraków,50.0614,19.9372
Poland,Łódź,51.7769,19.4547
Poland,Wrocław,51.1077,17.0353
Poland,Poznań,52.4000,16.9167
Czechia,Prague,50.0833,14.4167
Czechia,Brno,49.1953,16.6083
Czechia,Ostrava,49.8356,18.2925
Czechia,Plzeň,49.7414,13.3825
Czechia,Liberec,50.7700,15.0584
Sweden,Stockholm,59.3294,18.0686
Sweden,Gothenburg,57.6717,11.9810
Sweden,Malmö,55.5932,13.0214
Sweden,Uppsala,59.8498,17.6389
Sweden,Uppsala,59.8601,17.6400
Denmark,Copenhagen,55.6786,12.5635
Denmark,Aarhus,56.1572,10.2107
Denmark,Odense,55.4004,10.3833
Denmark,Aalborg,57.0337,9.9166
Denmark,Esbjerg,55.4670,8.4500
Norway,Oslo,59.9111,10.7528
Norway,Bergen,60.3925,5.3233
Norway,Trondheim,63.4400,10.4000
Norway,Stavanger,58.9701,5.7333
Norway,Sørum,59.9135,11.3472
Finland,Helsinki,60.1756,24.9342
Finland,Espoo,60.2100,24.6600
Finland,Tampere,61.4981,23.7608
Finland,Vantaa,60.3000,25.0333
Finland,Oulu,65.0142,25.4719
Ireland,Dublin,53.3425,-6.2658
Ireland,Cork,51.9000,-8.4731
Ireland,Galway,53.2729,-9.0418
Ireland,Limerick,52.6653,-8.6238
Ireland,Waterford,52.2583,-7.1190
Hungary,Budapest,47.4983,19.0408
Hungary,Debrecen,47.5300,21.6392
Hungary,Szeged,46.2500,20.1667
Hungary,Miskolc,48.1000,20.7833
Hungary,Pécs,46.0708,18.2331
Greece,Athens,37.9794,23.7161
Greece,Piraeus,37.9500,23.7000
Greece,Thessaloníki,40.6333,22.9500
Greece,Pátra,38.2500,21.7333
Greece,Lárisa,39.6385,22.4131
Romania,Bucharest,44.4000,26.0833
Romania,Cluj-Napoca,46.7800,23.5594
Romania,Timişoara,45.7597,21.2300
Romania,Braşov,45.6500,25.6000
Romania,Iaşi,47.1622,27.5889
Ukraine,Kyiv,50.4500,30.5236
Ukraine,Kharkiv,50.0000,36.2292
Ukraine,Odesa,46.4775,30.7326
Ukraine,Dnipro,48.4500,34.9833
Ukraine,Donetsk,48.0089,37.8042
Ukraine,Zaporizhzhia,47.8378,35.1383
Bulgaria,Sofia,42.6975,23.3241
Bulgaria,Plovdiv,42.1433,24.7489
Bulgaria,Varna,43.2078,27.9169
Lithuania,Vilnius,54.6833,25.2833
Lithuania,Kaunas,54.9000,23.9333
Lithuania,Klaipėda,55.7075,21.1428
Slovenia,Ljubljana,46.0500,14.5167
Slovenia,Maribor,46.5500,15.6333
Slovenia,Kranj,46.2389,14.3556
Slovakia,Bratislava,48.1447,17.1128
Slovakia,Košice,48.7167,21.2500
Slovakia,Petržalka,48.1333,17.1167
Latvia,Riga,56.9475,24.1069
Latvia,Daugavpils,55.8714,26.5161
Latvia,Liepāja,56.5083,21.0111
Serbia,Belgrade,44.8167,20.4667
Serbia,Novi Sad,45.2644,19.8317
Serbia,Niš,43.3192,21.8961