,2014-01-01,2014-02-01,2014-03-01,2014-04-01,2014-05-01,2014-06-01,2014-07-01,2014-08-01,2014-09-01,2014-10-01,2014-11-01,2014-12-01,2015-01-01,2015-02-01,2015-03-01,2015-04-01,2015-05-01,2015-06-01,2015-07-01,2015-08-01,2015-09-01,2015-10-01,2015-11-01,2015-12-01,2016-01-01,2016-02-01,2016-03-01,2016-04-01,2016-05-01,2016-06-01,2016-07-01,2016-08-01,2016-09-01,2016-10-01,2016-11-01,2016-12-01,2017-01-01,2017-02-01,2017-03-01,2017-04-01,2017-05-01,2017-06-01,2017-07-01,2017-08-01,2017-09-01,2017-10-01,2017-11-01,2017-12-01,2018-01-01,2018-02-01,2018-03-01,2018-04-01,2018-05-01,2018-06-01,2018-07-01,2018-08-01,2018-09-01,2018-10-01,2018-11-01,2018-12-01,2019-01-01,2019-02-01,2019-03-01,2019-04-01,2019-05-01,2019-06-01,2019-07-01,2019-08-01,2019-09-01,2019-10-01,2019-11-01,2019-12-01,2020-01-01,2020-02-01,2020-03-01,2020-04-01,2020-05-01,2020-06-01,2020-07-01,2020-08-01,2020-09-01,2020-10-01,2020-11-01,2020-12-01
Paris,23.002404152459427,24.34682656650955,24.338485793228326,24.184378212924635,21.68817915901932,24.44832229563674,23.637669704844456,20.79527320664274,23.89881412132408,21.348290444701924,18.925169499542598,16.904692751664964,21.39376207394949,24.067470921719462,25.048184689247744,26.28456577149024,23.811160961618487,23.951375476842387,21.695851189284205,22.746926972798196,23.83131694244582,22.151410102634706,20.23293898215229,23.00140561351221,22.073825086266016,18.461824235703578,24.53159857110695,23.91247481954512,24.145807084309816,21.62823443787588,21.93815018085551,23.04401469826951,22.656184740979516,23.246498794061377,23.04521322333763,21.782955255813253,21.263119876366286,19.836839661824932,24.605253957840358,25.64118360472586,23.578810556220837,23.349755027258322,21.811768326028847,21.814361068683297,22.228050711092887,21.426462744390744,19.83124951176561,17.119539485859306,16.098812446706535,26.367485331597287,23.87616778887798,25.249154976437644,24.49290551388045,22.67912437479468,22.30668011162465,23.314512393769245,23.872423260247796,24.461883288750307,23.164000121475095,18.982566327058755,19.87813157043292,22.162996067718847,25.244751275358382,24.73043037257812,23.028351355671663,22.89125316299242,23.308275968528935,23.27576865666319,22.50191828074092,13.023004589197239,16.84298362117713,21.719123810723627,20.031887951988466,24.345317151569514,24.72872664668236,23.585979652313853,22.8331142584522,22.576399949801626,21.454460839025135,21.062295042824466,22.58577417530365,19.348862035647247,17.2267753281449,13.678556683220048
Nice,3.3634710597351556,3.4423945964365714,3.572344046215819,3.4503005844345846,3.658497207360016,3.586682062060791,3.465273335126434,3.6796724255438136,3.6972883457708114,3.50225941253102,3.2758728201415113,3.8972282929141535,3.737721861782287,3.5324994820890647,3.3824770795689307,3.3526244185774634,3.4121832963981578,3.3960094303769535,3.206504877505925,3.4387080302463775,3.3485455002291395,3.356548493552419,3.4148455238803144,3.334267540995603,3.6646927155965834,3.4561148570778455,3.5885019647928584,3.5358919080982485,3.595122394467571,3.273323631248359,3.333105368980954,3.3727379618262514,3.3741038604531504,3.452916510768838,3.545775576854389,3.701517317973668,3.612269022636814,3.652119265206607,3.764965048914066,3.7167525299990567,3.6144918875020866,3.407355836644651,3.311085792831365,3.4585974270913415,3.5271865383173195,3.7040208230015654,3.6811778056445132,3.665919832314291,3.729302475051444,3.463683229298176,3.649015494100944,3.5207416901546766,3.453346619287812,3.4731648327401774,3.3103913805988365,3.623553992175289,3.4217656375460344,3.450794937599307,3.189870532818004,3.461195343818252,3.623000000108242,3.568816779015413,3.606043325212701,3.5546584736534577,3.38014894506959,3.4487292329056336,3.236167168763823,3.359779787475423,3.4015898960577253,3.4056162607704206,3.5319820315640054,3.491517017100485,3.372263244787786,3.524578925389903,3.356696979390622,3.222440313251601,3.2795132533605305,3.503149519446028,3.040912921070551,3.3069597021836246,3.146317272446134,3.1713055209556162,3.49133515411884,3.2144980958994185
Toulouse,4.777806677201556,5.0274783096901325,4.5508716599918255,5.379509797153142,5.07140016510527,5.5308311712757385,5.126737522912122,5.415982753174342,5.621795582620471,5.611112952466784,4.868032903210632,4.682495741007282,4.459988246206572,5.481302929864101,4.777515520717497,5.770592080050988,4.766843596659518,4.994827217087689,5.019633663479798,4.932078605650492,4.902587661319452,4.995869436509134,4.792577887520836,4.910815111649627,4.733455081661766,4.932710927823868,4.511391489686047,4.580342867998373,4.996421081648427,4.794583752842081,4.924770548979492,4.747092112387692,4.969972318392099,5.020869204129876,4.2639311177894275,4.540260370585562,4.690059046487677,5.003515471441885,4.868496790688636,5.221794986689326,5.072262538706183,5.0026129875539445,4.40205592805098,4.728522890762102,4.559627971596822,4.7340292498903285,4.903725230115749,3.8070770163643464,3.564921359166828,3.906629335108543,4.534160414674888,4.866817881446797,4.398246317671893,4.396805279201071,4.397657757936467,4.71041139908741,4.356869196657158,4.080970266486458,4.443659359356813,3.726279651217259,3.609725527686423,4.6157007673021395,4.716353217523234,4.573741289873002,4.661751314351255,4.586934994864318,4.300630673922617,4.472789069082094,4.272492027607802,4.263390402320092,3.236323184086602,3.8386347116568045,3.8696250655905926,4.3238339549577205,4.444209896288862,4.4181198117200005,4.526455639631538,4.576661076735514,4.321122900349785,4.149306384782594,4.072029262698366,3.868598607560324,4.403188835073323,3.1953572372102172
Marseille,5.227348041109549,6.005932231156522,6.101827810305411,5.819513173639784,5.943393972960034,5.788194562968885,5.84699835808179,5.710301898025223,5.990193220000076,5.740263445442801,5.143129191473429,6.199648196945996,6.224659859789484,5.926423412910465,6.079247164365098,5.892931711572938,6.0094963241047985,5.564439916365205,5.534647254046798,5.338763474957694,5.7173254706842505,5.728126463916644,5.592378384512408,5.422315310131146,5.955174136635056,5.7423689233509325,5.70394064019684,5.730170499623449,6.9559474344417636,5.684442139642035,5.60491500084257,5.727759121336188,5.579402768991211,5.773536880201473,5.451330022615555,6.030942414267274,5.803423840439983,5.865185729113118,5.9259281584020025,6.083406032114607,5.726933231535374,5.347076338301454,5.670849273142671,5.512881398340431,5.613405772612812,5.994042739847162,5.971077642496932,5.726080096007137,5.764787130631421,5.957548273124011,6.708876715595901,5.877643002003762,5.520135501053839,5.900589880025935,5.808569822244196,5.593180328992688,5.532167319823589,5.678825833763066,5.048359562877578,5.508136480929808,5.72229510340166,5.726632256409569,6.116731981931327,5.527919930263911,5.859737816344461,7.122944150406306,5.431862543138828,5.436333624967275,5.48506957979486,5.606645195835298,5.786471635878827,5.646439824370109,5.335925444605514,5.745050189058785,5.813837704355996,5.234923210449335,5.623867596491692,5.9147858102567765,5.634602646824876,5.491193180330425,5.052157000366045,5.509267312667725,5.696106842732662,5.358745165635227
Rennes,4.203696195174149,2.9854548344881273,1.3473234257697733,1.3325368697319109,1.288813509282465,1.7344680121682274,1.587254733925437,1.397251830939078,1.5482412616209194,1.3407783333303838,3.6188312885794596,3.127145834359612,3.365454224966729,3.3046327546667307,3.4481738101741013,1.4947543009228093,1.4054476054348954,1.522865668521788,1.018560819940137,1.2138886110273939,1.1829785848397796,1.1480918342077375,3.795251320266497,4.468140622373686,3.7479831176314526,3.6243625316611134,4.153266160669352,1.4494869259308312,1.3422379851474504,1.257243983276448,1.141559304737228,1.117313805393465,0.9618390616015453,2.2670277167189736,3.0106456750088926,3.7019162005267283,2.868321699969438,4.051183943933692,2.1862069899382197,1.5641608849657707,1.6286815000407755,1.3723480017569052,1.1232906172086776,1.33445775204366,2.3289339861278324,4.451953868980512,3.9077828315576806,3.8197038662555376,3.7095330609441413,3.2199524232137806,1.9910892523823944,1.6047829510472211,1.4826950833839254,1.417513846393165,1.5788792680202903,1.2090196731350422,1.3437203776238533,1.361474466573081,3.664727876831486,3.280709977109191,3.1537170260162717,2.7167417962225784,1.699132805840291,1.4618849459053864,1.458671129940792,1.452840168157305,1.3691146734430988,1.3770465779223708,1.3941633508704885,1.1011708549490893,2.502489624735899,2.561999633075813,1.5887089651724449,1.8665807680435043,1.5294843394391378,1.1079091468998752,1.5694816869831933,1.6889030200313764,1.2824791334825747,1.166299470284607,1.1102466829171274,1.4042707911802434,1.499622029066023,1.4112963313248288
Grenoble,2.0062605477030893,2.1648615439119667,2.5201729126343553,2.3533402011376583,2.5073300975405197,2.481140792558316,2.2164094422046396,2.311646805737075,2.496992954371186,2.405148039363452,2.0354172578139895,2.5861631768584865,2.4816992748662945,2.695165536780291,2.1939029329777284,2.2712761729948743,2.2131814258939797,2.320111616905587,2.095244116434853,2.180448656138733,2.0942518252855873,2.02395658966469,2.339154740167406,2.060873009794012,1.8440028968597513,1.6851029110593865,2.2777865582688728,2.191182466310229,2.433147444017126,1.8745323048379208,2.1049786164067723,2.0106233863651966,2.0985082734126723,2.2094372603532757,2.1811498339125204,2.176336764921125,2.3885566805859506,2.3296858844750385,2.4217950400762778,2.4595007032122918,2.4043546762908545,2.39596895036196,1.957432500869411,2.1703141929985486,2.104132334222233,2.285342239361026,2.321392867270882,2.1404176835486384,1.9275297897633261,2.0270368583035943,2.214879804344502,2.4367664829700844,2.172118242186196,2.396210306127137,1.982345709153214,2.198246452582871,2.052006182090246,2.165043543857147,2.1490246162885143,1.520925739596622,2.1022758356605316,2.329595524429052,2.1522260364200987,2.1037214296139544,1.967703274708484,2.207552762722254,1.970141238674856,1.9751431813856826,2.0025874419351193,1.9119598587828812,1.6449553144745128,1.913117757506024,1.8044952748562983,1.9375909296726304,2.0405752717349137,2.0150002410408323,2.290012948640016,2.4190146219913893,1.9369035783297577,2.0610594898286907,1.841225250835263,1.703869984183095,2.0737487152791063,1.9428347960041341
Nantes,2.492354278699508,2.525705617785464,2.7322262060067897,2.960649465447118,2.666938221674055,2.9895006183629245,2.8137293760061324,2.6445551968911447,3.0239158968554234,2.937365632150823,2.564863519268807,2.4509606784453744,3.149325661770307,2.850558380537747,2.8237992353972725,3.1055750874644596,2.7640020367477325,2.904138988251952,2.396526163458932,2.4676960764079916,2.401717947270209,2.682721979736477,1.9241992710819449,2.3980191801029993,2.2988545763116828,2.108107895876159,2.6647572961605497,2.756159741494039,2.9244347888999336,2.6117545636258006,2.6829128170712098,2.500294398680297,2.3534017747909415,2.7969746333136376,3.418345443294772,3.3030536500288377,3.3324511897088755,2.1120738913680954,2.834190223269141,2.950659731924363,2.8413907047024796,2.7220495964426874,2.20677235859974,2.5684261810546922,2.683511573585197,2.417500072211832,3.427595016322234,2.85982738252584,2.414544092338302,2.5504385316595863,2.653843769457328,2.8074588278861867,2.688843644455253,2.637519865511245,2.624805359865467,2.4012701316296363,2.6617885036465423,2.5857581246498844,3.2917401300114726,2.8900891410087106,2.777967774305362,2.7117741766455956,2.61891684003448,2.7865376200134344,2.6189863974184457,2.578587026486099,2.544694169516435,2.312683716872627,2.521285721893392,1.6923971944909595,3.0173835169505154,3.944848468034452,2.744149375639706,2.6374651599673617,2.946442503296186,2.2199643443337242,2.6822726004815722,2.8206035240162204,2.617631769966739,2.2137309363850095,2.3108810949749397,2.378055994874749,3.428943034392054,3.001274456967208
Montpellier,3.416021298960397,3.9581395952313403,3.8548187823043643,3.987236637476861,4.234354233958623,4.063596046719158,3.7738399146166044,3.7859437305952848,3.9321235858826156,3.8790852637593884,3.51490751213938,4.076048722234746,4.125872990402531,4.0217782178257,3.8038076441360764,3.914062673424809,4.038140863977973,3.8168804152955778,3.677152685624616,3.6583862899464963,3.6867092255393823,3.679545025262282,3.7352471595639343,3.481097709554637,3.8200764628930446,3.684906610666974,3.7815998288226433,3.633563080968828,3.9778103642860256,3.835088780397979,3.755497933274954,3.6896710778457837,3.7617664677326097,3.899375863091455,3.4966090723770624,3.7653346141480837,3.713481658188577,3.7311041027459915,3.981595610453001,4.113350415450604,3.970242140154202,3.53921625106594,3.7672078923134493,3.5313766513409264,3.7760544700769887,4.01431547734842,3.9092143913426676,3.6396896163734285,3.5695155095878013,3.856468114217581,3.8769089683344857,3.9048698471835426,3.691910678998049,3.873458500706114,3.579524566979591,3.7339474346127854,3.5412862870320523,3.3374788138193088,3.0464926068573437,3.481431776760123,3.7133045967297504,3.641984190076667,3.855008312191774,3.67347629619659,3.6958568211991825,3.5894028116484558,3.4344873396285442,3.471565427252695,3.546032723475194,3.5159067661653207,3.383876498390082,3.509571266400042,3.2514491271663153,3.415071026671815,3.49694951735714,3.0468597279729894,3.6445965652153918,3.941714760303108,3.252256981877419,3.400211471585516,3.0878661811649235,3.3803649104695292,3.543168767771973,3.4347774070505066
Lyon,5.511652806798929,6.539769929328075,7.364483437350047,7.345305716688463,7.244454762353401,7.646764903117802,7.104051574128994,7.136549203568364,7.471922126721481,7.221608322984089,6.7007399233535585,6.666924031284993,6.561909357674251,6.551072714512844,7.055857542386215,7.553324544790589,7.096003727565815,6.831770943924372,6.99839211238511,7.027772128036869,7.093531018369884,6.226756645286465,6.3245272243247515,6.281899184438029,5.979113179769588,5.483032572893509,7.132049804143027,6.645363940047386,7.6056729774318015,6.3537653101869696,6.952454534460403,6.818577635195912,6.738902235297248,7.023072683007585,6.780978989170427,6.568379116022658,6.30133317646486,6.818807512529939,7.163207568945634,7.464946879649714,7.329268834755012,7.054758440842997,6.683575745093812,6.772220261878711,6.67027987394707,7.254805257874709,6.5277208034525,5.300807288364639,6.280819044180671,6.756962984013681,6.760180381245221,7.545451583367597,6.9143532934987615,7.053365782102993,6.7203224181680845,6.888371863271474,6.901678749298228,7.048462950665041,6.625525677162431,5.258784648542555,5.344672646980717,6.670704632770791,7.087666980322241,7.167995951538598,7.184544181911364,7.116721671238822,6.575764560880991,6.664047765623606,6.632972309943154,6.114864803784261,5.607303278439359,5.855907461237422,5.396304669165897,6.266403138170821,6.578005004295134,6.51640635347362,6.901627870561191,6.9249912136295615,6.275525293789811,6.633847045092778,6.306021986376214,5.971665972362684,6.196563365744942,5.631854731467317
Berlin,7.62351927714827,6.428291633209985,5.933238576218411,5.632953486341247,5.709904302560975,6.418304697567999,5.852359363048172,5.711426620504358,5.167921740650361,5.340108516384594,4.582171842577209,6.5053563313902245,6.191238821838992,6.039757013761845,6.104248175639264,6.317197057762255,6.146170555817998,6.088573417294996,5.370177570847197,5.349277574751477,5.59906203010427,5.37605159156937,4.765010256730065,5.192791220466673,7.035106308813038,5.690647297418048,5.932486125144708,6.472899905296858,6.204933205124629,6.3558476701957805,6.067769776435805,5.378495982864639,5.700339688636653,5.582762617470935,4.990911539475693,4.958313676544686,6.845693364095328,5.623932079411658,5.87428105687,6.270408988799497,6.417392003862656,6.758729498466095,5.986649042783112,5.602252689632972,5.936521249323226,5.645719020181559,5.259874026885662,4.789665395310557,4.176886588304585,6.02337683698618,5.984819733711061,6.75749890515949,6.1608698176335785,6.862944919033272,6.577032024522314,6.083351434752562,5.722905027966853,6.384143757261545,6.3572344758091495,4.718519320625444,5.466159762829179,6.317721291133632,5.541977917954299,6.8991743509447145,6.2790132256836415,6.7660752911603215,6.390170980589732,5.711652909009517,6.102919946194265,6.163720395423671,5.624583302298729,5.278791079172973,5.945976607192867,5.388103220580249,6.786659707676162,6.779015968193165,7.003841680324732,7.236022896288655,6.4603107070280315,5.613364516857013,6.067999247430748,5.625953262168656,6.116789047046135,5.7502297346721205
Hamburg,4.241537173730523,3.9779149225646426,4.1421400707430145,3.785676357189919,4.011607055002914,5.408508713241742,4.881174278855352,3.9885001637871786,4.24016503136009,3.7640074138291655,3.49477886924709,3.949817513409705,5.126951316214234,4.1740786607067495,4.568916829020659,4.600499069963908,4.130485846562953,5.976166932352841,3.9518079075143753,3.789537326607754,3.738605334306531,3.8869826989274956,3.2101964976166686,3.4546880813876975,3.7268462080393077,3.5312869332218413,3.9181382563973313,4.2130945397531745,4.507019858621789,5.2264328266445945,3.7840216522018597,3.827986883123374,4.032007927322561,3.5909648220931336,4.510381987038955,4.0573395694618055,3.9793426462345445,3.3076911922526264,4.836138953241918,4.571459878668436,4.780015663754373,5.183634861961515,4.521067943213505,4.008120061321776,4.203153267285646,3.5418713042088146,3.8611813806437736,2.981408710018556,3.3706807085442465,5.0898896267110425,4.209652193859802,4.920756870866439,4.791320080355396,5.2494906524425,4.847862481245852,4.547701754932192,4.457011237628833,4.6220548987345245,4.645918058052368,3.3739622957381306,3.668633030105535,3.865657413193324,3.6050980884711494,4.999545170058203,4.532396359265036,5.2169081205516,4.832333998202258,4.32884871291482,4.35920493792001,4.4991186033185455,4.8363710649382865,3.7525944750327813,3.0652475582767984,3.439185800410154,4.539348181793425,4.73246668263632,5.120381029239073,6.286306872388612,4.8429482313716266,4.278736093234717,4.7338274404166985,3.8064848514530327,2.8656613629741527,4.149043456790824
Munich,3.1123824193135623,3.09774022090165,3.2654041188735543,3.2641910044820945,3.083905726669434,3.323863381954786,3.1370530762878235,3.142745750594412,3.017609515605145,3.1048886569950596,2.765050587523751,4.346912484407006,3.124808695436419,3.954324481908456,3.4154367399772037,3.555653248238358,3.1625472386808733,3.3043494450498336,3.0831723168034872,2.9356601238406466,3.2130974453265404,2.7532124676248557,3.326993187596153,3.1610802337239816,3.882125323376814,3.030544568129026,3.3059543607262416,3.4179265578029456,3.475623490740026,3.2154547905389457,3.012830098162597,2.956268785193174,3.1740517973762565,2.8761861984004655,2.9155673943571,3.102410312971142,6.023461114518251,3.5108365978229896,3.4518467360472136,3.7457730365886315,3.59338741671249,3.539252990791877,3.1432187367787177,3.2503886866125384,3.454372057800634,3.624160385544505,3.260666127738974,3.11493620466546,2.8117241965001725,4.592894000516292,3.6229426246065812,4.0198757261865765,3.341208801244028,3.60740910114094,3.4378715219730447,3.425758161335387,3.42093099731065,3.609311744674845,3.3965054038339337,3.5623601653132373,4.761733709003489,4.827072318028977,3.332589078897223,3.9886059803136362,3.6433841779459124,3.7971349346245447,3.5278195040308638,3.292998389567052,3.394443090453804,3.3452869191127217,3.2745509952872283,3.482321646836379,3.3803957742290582,3.528670796960165,3.736443563529293,3.6674410548131626,3.703250036986194,3.803074275588085,3.6219036214729434,3.5696447865365633,3.396083794347964,3.2909717859974483,3.6873964683077545,3.184800713212543
Cologne,5.785182425781567,6.155357395610963,6.406178732811145,6.057539988167942,5.830596731834009,6.486661378395901,6.322530727077568,5.713191015945111,5.868025301982592,6.160345611517734,5.788710020164887,6.035463105922908,7.697047345210622,6.4206305410156475,6.5441933073983805,7.080020028585535,6.614490011865713,7.046880050590076,5.842577015438328,5.859768211757566,5.9532893332889625,5.2034693235764875,6.763316667068423,6.336543826914081,5.632388855649869,6.351037140307301,6.819316271029291,6.763209222127526,6.804153280969577,5.797117532414253,6.300908482922365,6.382796785237845,6.405011593156357,5.923697008064651,5.622798977697166,5.828987123537711,7.002693531189732,5.456013009455353,7.232115590876632,6.871868303881634,6.879158975512067,6.620127833940239,6.536161991200907,6.31881146767036,6.215564701402141,6.3599202081446915,4.722250204552793,4.476023975094717,4.544931048057036,6.698006713778225,6.693029750383824,7.16708025137774,6.94884754955381,6.255455253321209,6.781743752597989,6.770489983621783,6.933533714652665,7.220078867060449,7.272691961830911,5.8960789069119075,5.17818001337815,6.325798950073072,7.401712614269059,7.345273886243027,6.574421964503561,7.423919254230317,7.175306796879398,6.611428564748469,6.842036882526412,5.816205548923512,6.492551972180944,5.879236438928574,6.276178010043386,6.92696960338931,7.393486338375289,7.202218976837507,7.5030857983651575,7.5282425276963565,7.214200437898391,6.33331249944458,6.3858782132345455,5.61228049215941,6.200461194442627,6.634647919277084
Frankfurt,3.7735065080177987,4.118958178225314,4.417398636188574,4.2836801272031835,4.217082051840738,4.558881784578363,4.58517746851825,4.310291935894774,4.331212613054832,4.058711373927193,3.743087258843791,6.043866119031584,5.001821739047875,4.5343412442470665,4.464993726560325,4.8161149106222485,4.412084603023312,4.512309149134794,4.240666202380705,4.13738291858602,4.214658905398035,4.034378771280634,4.036637095735913,3.392442248037298,3.898790879063449,4.114138257662268,4.121606920098739,4.455456965042186,4.7256467079673365,4.6595304430033435,4.389836343064103,4.240202671288302,4.431562409993902,4.313578170630494,4.377454467535645,3.6485646221252255,4.552260472091462,4.054278557953806,4.70805845101132,5.057709917977154,4.6696602466620165,4.952315849906701,4.5037742829584175,4.410315317684919,4.715954010919186,4.717315318791142,4.112519773079015,2.954735146825506,3.7253741713756554,4.6681202154488,4.9025801811730485,4.958076393470602,4.861653069237154,4.9903870167872935,4.650048500918566,4.8973956847391165,4.89157249303478,4.908741663289971,4.616239862252728,4.046262333596047,3.9249664884392867,4.706746741032542,4.765353771870283,4.813795290845358,4.7093951751568905,5.1480573478555485,4.9609580573958825,4.764757977112026,4.829619678152336,4.24561329398631,3.8030766460865935,3.984629505638272,3.9187335702436132,4.590467438512587,5.029680654604488,4.9276582548299475,5.211454408835148,5.285885046103122,5.0489981718490915,4.617144278999132,4.71165217807943,4.311321447285628,4.194934850245902,3.2711812429657723
Bremen,2.2274494253883876,1.7499043781665737,1.7489837237183,1.447689688863132,1.5389010018196971,2.3900627744154934,2.1070537928409636,1.748571057874727,1.744793010141161,1.7582080061068779,1.359385789793639,1.587271720459505,2.3895758883463456,1.8255587172954066,1.7181521169886527,1.8487388692942957,1.8070362734023666,3.104108840927293,1.7733954325335572,1.2541820614014683,1.5584284925725669,1.517191426598846,1.7816393990734989,1.2573242479871916,2.1671324534019742,2.063007956526021,1.6653885287672632,1.8447576065386817,1.800312012537792,2.606604493201526,1.9763494131719956,1.640910514694063,1.6498152302073346,1.7606296937395316,1.2328645956565136,1.5868284728267352,1.7035336056636194,1.8060963771944039,2.063652591585582,1.8207082297372026,3.4530474103246065,2.854869831914192,2.232067117409845,1.94514229971815,2.0549880843415322,1.7498509607755965,1.6744028976568974,1.2836996711531552,1.6259379550780009,2.2226503380768223,1.8255072127149987,2.0741512714040238,2.178646423690458,3.2990146645235643,2.2773273910648006,1.8454732332818404,1.8960833793218919,2.050670562495847,2.0681938899480836,1.743171228249436,1.7011651427555663,1.9700883499953505,1.8694090621375004,2.1074303820328315,2.058111260924998,2.4685275115550858,2.620419866987682,1.8966230966710853,1.9131380548921242,1.9735594595822739,1.7535348563980517,1.7333834032990476,1.6140781424140946,1.5066945527642146,1.9313775127391581,1.8826405001489719,2.5052932448657343,3.29568411100861,2.2001355919509575,1.9158784007484886,1.9651360773645885,1.6760191006402358,1.606746173889953,1.8180304757278818
Stuttgart,3.0654440635496942,3.383898634753471,3.5874898247792224,3.237640244606909,3.5236203890712594,3.740932682405847,3.3589347777497434,3.5424290231125686,3.2897572284160708,3.2062726174369516,2.6680897176141465,4.085826529816969,3.5719919711309345,3.696895579613079,3.7980112887455055,3.9573247381570282,3.462843660897404,3.3519369091771725,3.440608325011655,3.309707783696619,3.365016072773106,3.2834009065642467,3.6058679769665494,3.540148344164065,3.348745299860231,2.760257537796351,3.7583966968798355,3.5046087318001455,4.041538110233675,3.5630909148800085,3.4209187026625054,3.4342516766662765,3.697043900394188,3.3950045227773704,3.5341694893870397,3.326405137483433,5.198464256313702,3.7428444003100663,4.017998082036334,4.1474419580066275,4.086528152595458,3.8766133307794135,3.7682327889536174,3.643303485741821,3.7490442035861347,3.929148598512777,3.381280870560086,2.958001814680182,3.327913092844279,4.204953540151437,3.9782204805202546,4.310457971237268,3.6649871067926183,3.9688482115027397,3.7407239290253655,3.83337387652156,3.795277245101329,4.076175283768962,4.048575278553757,3.2261651673932925,3.6967776207777097,4.055913682123958,4.029283276626232,3.982062197292996,3.809074204619991,4.282566571497703,3.9134970777480884,3.70237509807648,3.742537994307532,3.6348811448621854,2.9099219954285567,3.8646487680355235,3.513266834876513,3.7784287083287427,4.073672368198409,4.046704458082021,4.292421252086295,4.116081168237528,4.013391559732918,3.8203996835549745,3.7077564852504032,3.369145092204171,4.118502527390748,3.5567661802063717
DÃ¼sseldorf,7.5126177468511735,8.511259422296582,8.86192015818034,8.495944378611597,8.86575534679023,8.745359663893495,8.40516585320487,7.826833354758307,7.836321961890062,8.005207873640543,7.809980573145158,8.78020491602785,10.638575838292693,8.26145935395022,9.229969652766554,9.530616981257209,8.806595733345944,9.200300964204727,8.090386295248608,7.730439475373155,8.35126019632854,6.826833665057778,8.136670338284103,8.804398988057757,7.231861691845124,8.39990416186287,8.965387294802126,10.057262844739677,9.561017788886453,7.986117141958973,8.770957205196359,8.792256955902351,8.741663849499199,8.07711694399171,7.666583033147601,7.964645944221787,9.203964711427803,7.5939550793441235,9.45049401287226,9.0166493557169,9.017865095731846,8.642606435940815,8.780846880578453,8.53747216226489,8.803999491930412,8.654992478186927,6.800238752916499,6.045243053918166,6.004886353417608,8.825308577170677,8.480798993179453,9.382482916445177,9.219791367014135,8.324368014252693,8.97297747020159,8.874749590065584,9.05468118799548,9.514958665472493,9.289698255290826,7.842880700213599,7.392445076932267,8.03488331564544,9.188057299256894,9.900476263770818,8.601634387742925,9.705531003525435,9.115190140480177,8.545676570986426,8.775976759086518,7.967303852258815,8.139029962712085,7.64878790914936,7.995122297515728,9.060421891257631,9.508406771642434,9.394998819015672,9.412381522385166,9.967419167534478,9.0620326843938,8.151668443374463,8.27739531938418,7.7359972786939375,7.637862028766876,8.195260754951113
